#Variables 45
#Constraints 0
Objsense Min
VariablesInfo
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
0.0 1.0 Bin
Objective 507
Offset 0.0
[1, 2, 3, 4] 64.0
[1, 2, 4, 5] 64.0
[2, 3, 4, 5] 128.0
[2, 3, 5, 6] 64.0
[3, 4, 5, 6] 128.0
[3, 4, 6, 7] 64.0
[4, 5, 6, 7] 128.0
[4, 5, 7, 8] 64.0
[5, 6, 7, 8] 128.0
[5, 6, 8, 9] 64.0
[6, 7, 8, 9] 128.0
[6, 7, 9, 10] 64.0
[7, 8, 9, 10] 128.0
[7, 8, 10, 11] 64.0
[8, 9, 10, 11] 128.0
[8, 9, 11, 12] 64.0
[9, 10, 11, 12] 128.0
[9, 10, 12, 13] 64.0
[10, 11, 12, 13] 128.0
[10, 11, 13, 14] 64.0
[11, 12, 13, 14] 128.0
[11, 12, 14, 15] 64.0
[12, 13, 14, 15] 128.0
[12, 13, 15, 16] 64.0
[13, 14, 15, 16] 128.0
[13, 14, 16, 17] 64.0
[14, 15, 16, 17] 128.0
[14, 15, 17, 18] 64.0
[15, 16, 17, 18] 128.0
[15, 16, 18, 19] 64.0
[16, 17, 18, 19] 128.0
[16, 17, 19, 20] 64.0
[17, 18, 19, 20] 128.0
[17, 18, 20, 21] 64.0
[18, 19, 20, 21] 128.0
[18, 19, 21, 22] 64.0
[19, 20, 21, 22] 128.0
[19, 20, 22, 23] 64.0
[20, 21, 22, 23] 128.0
[20, 21, 23, 24] 64.0
[21, 22, 23, 24] 128.0
[21, 22, 24, 25] 64.0
[22, 23, 24, 25] 128.0
[22, 23, 25, 26] 64.0
[23, 24, 25, 26] 128.0
[23, 24, 26, 27] 64.0
[24, 25, 26, 27] 128.0
[24, 25, 27, 28] 64.0
[25, 26, 27, 28] 128.0
[25, 26, 28, 29] 64.0
[26, 27, 28, 29] 128.0
