#Variables 20
#Constraints 0
Objsense Min
VariablesInfo
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
Objective 100
Offset 0.0
[2, 10, 18, 19] 63.0
[4, 6, 7, 15] -49.0
[1, 3, 10, 18] 52.0
[3, 4, 5, 12] -87.0
[2, 7, 9, 13] 99.0
[1, 3, 5, 10] 88.0
[12, 13, 19, 20] -58.0
[2, 7, 10, 16] 24.0
[1, 4, 10, 11] -59.0
[13, 14, 16, 18] -81.0
[3, 4, 8, 13] -23.0
[3, 7, 13, 19] -51.0
[4, 16, 17, 18] -9.0
[2, 9, 11, 13] 50.0
[4, 10, 13, 17] 17.0
[11, 18, 19, 20] 56.0
[8, 9, 10, 18] -62.0
[3, 14, 16, 17] 29.0
[2, 5, 19, 20] 21.0
[2, 4, 5, 10] 54.0
[5, 10, 15, 20] 54.0
[2, 3, 4, 9] 75.0
[3, 5, 13, 19] -46.0
[9, 10, 12, 20] 73.0
[1, 2, 12, 19] -7.0
[9, 12, 13, 17] 30.0
[11, 14, 19, 20] -5.0
[9, 13, 17, 19] 21.0
[3, 6, 18, 20] 36.0
[3, 5, 6, 20] 56.0
[2, 10, 11, 16] 76.0
[4, 6, 17, 19] 60.0
[9, 15, 18, 20] -78.0
[5, 9, 18, 20] -44.0
[2, 3, 7, 12] -77.0
[2, 6, 13, 20] 3.0
[4, 5, 16, 17] 5.0
[2, 3, 9, 16] -65.0
[1, 6, 9, 14] 84.0
[3, 7, 13, 20] -99.0
[3, 12, 13, 19] -72.0
[2, 8, 9, 13] 97.0
[5, 6, 12, 18] -83.0
[4, 10, 11, 17] 46.0
[3, 12, 15, 16] 24.0
[7, 10, 15, 16] 40.0
[1, 7, 9, 13] -26.0
[5, 6, 18, 19] -67.0
[4, 6, 8, 14] -56.0
[4, 9, 12, 15] 71.0
[3, 11, 14, 17] -34.0
[6, 9, 12, 20] -72.0
[3, 7, 9, 14] 58.0
[7, 11, 14, 20] 93.0
[1, 4, 13, 19] 10.0
[2, 6, 7, 12] 22.0
[3, 6, 19, 20] 7.0
[5, 8, 16, 20] -4.0
[8, 10, 11, 20] -45.0
[5, 8, 11, 20] -84.0
[1, 2, 11, 12] 26.0
[4, 5, 14, 17] 67.0
[3, 13, 16, 18] 41.0
[3, 4, 6, 8] -27.0
[1, 8, 12, 14] -36.0
[1, 7, 14, 20] 89.0
[4, 6, 7, 19] -3.0
[2, 8, 17, 18] 16.0
[1, 9, 18, 20] 98.0
[3, 6, 14, 17] 56.0
[3, 9, 10, 19] -79.0
[7, 8, 9, 13] 50.0
[2, 7, 12, 18] -24.0
[10, 12, 15, 20] 94.0
[3, 12, 13, 20] 39.0
[1, 2, 11, 14] 55.0
[1, 5, 18, 19] 58.0
[1, 2, 16, 20] -82.0
[6, 7, 16, 20] 16.0
[12, 17, 19, 20] -76.0
[8, 14, 16, 17] -1.0
[3, 5, 6, 10] 49.0
[5, 9, 12, 15] 46.0
[6, 7, 12, 16] 41.0
[1, 3, 10, 15] -74.0
[1, 9, 12, 20] -6.0
[5, 6, 11, 19] 10.0
[2, 3, 7, 14] 15.0
[1, 2, 3, 11] -6.0
[6, 16, 18, 19] 47.0
[3, 7, 9, 19] 66.0
[1, 3, 4, 18] -65.0
[2, 6, 15, 18] -48.0
[5, 7, 8, 18] 100.0
[10, 14, 15, 16] 64.0
[5, 9, 14, 15] 58.0
[1, 3, 8, 20] 40.0
[1, 5, 14, 16] 2.0
[1, 3, 11, 17] 4.0
[1, 9, 10, 15] 66.0
