#Variables 25
#Constraints 0
Objsense Min
VariablesInfo
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
0.0 1.0 Cont
Objective 130
Offset 0.0
[5, 9, 16, 19] 91.0
[10, 13, 23, 24] 22.0
[1, 7, 16, 25] -89.0
[6, 10, 11, 12] -90.0
[3, 10, 15, 23] 61.0
[3, 8, 16, 20] -46.0
[3, 12, 13, 22] -51.0
[7, 18, 21, 24] 93.0
[4, 13, 14, 23] -18.0
[1, 2, 3, 14] -98.0
[8, 9, 15, 21] -74.0
[5, 14, 16, 24] 45.0
[1, 9, 11, 17] 25.0
[5, 8, 24, 25] 99.0
[5, 7, 8, 18] -75.0
[7, 8, 10, 21] -14.0
[3, 5, 17, 24] -46.0
[5, 7, 14, 23] 59.0
[7, 8, 13, 25] -89.0
[7, 8, 19, 23] 89.0
[5, 17, 18, 25] -80.0
[8, 11, 21, 24] -84.0
[1, 10, 20, 21] -46.0
[3, 7, 8, 11] -18.0
[4, 8, 12, 21] 51.0
[10, 16, 21, 24] -6.0
[1, 3, 13, 16] 83.0
[13, 16, 24, 25] -43.0
[2, 8, 20, 24] -61.0
[7, 8, 9, 24] 15.0
[5, 11, 13, 19] 5.0
[9, 15, 19, 24] -71.0
[19, 20, 21, 23] 100.0
[9, 13, 22, 25] -97.0
[9, 11, 13, 18] 25.0
[4, 15, 16, 20] -53.0
[9, 13, 20, 21] 2.0
[1, 2, 10, 12] -68.0
[9, 14, 21, 23] 76.0
[3, 4, 12, 20] -49.0
[16, 19, 23, 25] 94.0
[7, 18, 19, 23] 61.0
[2, 5, 7, 11] -60.0
[17, 22, 23, 24] 84.0
[7, 8, 20, 24] 5.0
[7, 14, 16, 21] -68.0
[1, 5, 10, 21] -4.0
[2, 7, 21, 25] 27.0
[2, 9, 16, 21] -90.0
[2, 3, 11, 19] -66.0
[7, 12, 16, 24] 54.0
[3, 19, 24, 25] -54.0
[13, 14, 22, 25] -1.0
[9, 13, 14, 15] 96.0
[15, 17, 18, 24] 76.0
[14, 19, 20, 25] 9.0
[4, 6, 8, 15] -67.0
[1, 6, 11, 13] -79.0
[2, 14, 19, 22] -6.0
[12, 17, 20, 22] 25.0
[2, 5, 6, 25] 53.0
[4, 16, 20, 24] 8.0
[2, 12, 17, 24] 96.0
[3, 14, 20, 22] 27.0
[2, 12, 19, 23] 91.0
[4, 6, 9, 21] 82.0
[2, 3, 20, 22] -93.0
[3, 5, 14, 16] 43.0
[3, 6, 23, 24] -62.0
[4, 17, 19, 25] 51.0
[2, 3, 11, 24] 20.0
[7, 10, 13, 22] -33.0
[12, 15, 17, 22] 56.0
[7, 13, 18, 22] 44.0
[2, 7, 13, 25] 28.0
[8, 10, 13, 14] 63.0
[10, 13, 17, 23] -79.0
[5, 19, 21, 25] 70.0
[9, 13, 17, 24] 51.0
[2, 4, 14, 25] -17.0
[5, 14, 17, 22] 33.0
[4, 16, 21, 24] 84.0
[5, 18, 22, 23] 84.0
[1, 8, 11, 21] 11.0
[5, 10, 15, 19] 59.0
[5, 17, 23, 25] -43.0
[15, 20, 21, 23] 53.0
[10, 13, 18, 24] 67.0
[6, 19, 20, 21] 87.0
[1, 17, 20, 24] -11.0
[1, 8, 11, 19] 40.0
[4, 9, 15, 21] 50.0
[14, 20, 22, 25] -61.0
[5, 7, 16, 25] 85.0
[7, 10, 21, 22] 1.0
[1, 2, 17, 22] 98.0
[5, 13, 14, 22] -95.0
[9, 11, 13, 17] -33.0
[4, 6, 9, 11] -43.0
[1, 4, 5, 23] 1.0
[6, 9, 11, 16] 2.0
[3, 7, 19, 21] 48.0
[3, 13, 19, 20] -94.0
[2, 9, 18, 22] -53.0
[9, 10, 22, 23] 41.0
[4, 7, 17, 23] -58.0
[6, 11, 15, 25] 26.0
[1, 7, 15, 22] -93.0
[2, 3, 14, 21] 79.0
[6, 11, 15, 16] 17.0
[11, 13, 18, 21] 18.0
[5, 7, 20, 25] -21.0
[8, 13, 15, 16] -66.0
[9, 10, 18, 24] 54.0
[8, 12, 13, 16] -61.0
[2, 11, 15, 19] 3.0
[2, 6, 11, 12] 88.0
[1, 6, 11, 22] -20.0
[5, 18, 19, 25] -21.0
[5, 9, 23, 24] 19.0
[5, 7, 9, 18] 41.0
[3, 10, 13, 24] -13.0
[4, 11, 16, 23] 8.0
[1, 16, 18, 23] 45.0
[2, 9, 11, 12] -72.0
[2, 19, 22, 23] 20.0
[4, 8, 17, 23] -10.0
[9, 11, 17, 21] 73.0
[3, 4, 9, 17] 5.0
[9, 14, 20, 21] -8.0
